invoice_amount,payment_terms_days,customer_tenure_months,customer_credit_score,previous_late_payments_count,avg_past_delay_days,number_of_open_invoices,discount_offered_pct,invoice_month,is_recurring_customer,sales_channel,weekday_issued,paid_late
7107.66,45,2.9,583.0,2,2.9,3,2,8,1,direct,5,0
5936.29,45,6.9,666.0,2,35.9,4,3,1,1,online,0,0
2000.28,30,34.9,603.0,2,6.1,1,0,3,1,direct,2,1
4487.03,45,3.0,527.0,0,0.0,1,3,4,1,direct,6,0
4044.11,45,1.8,620.0,1,6.9,1,0,1,0,reseller,3,1
4432.95,60,6.4,849.0,0,0.0,2,0,2,0,direct,6,0
7976.75,15,5.2,664.0,2,20.2,3,0,4,1,reseller,4,0
4452.57,30,18.6,850.0,2,23.7,2,0,6,1,direct,3,0
6707.77,30,1.2,850.0,1,0.7,4,3,2,0,direct,2,0
3869.27,15,12.2,850.0,0,0.0,2,0,3,0,direct,2,1
4723.04,30,55.0,850.0,0,0.0,4,0,5,0,direct,0,0
6426.33,45,26.0,850.0,1,11.2,3,0,3,1,direct,5,0
980.99,15,78.3,709.0,0,0.0,7,1,12,0,reseller,2,0
2730.65,30,31.3,701.0,3,13.9,3,0,3,1,reseller,0,0
2384.31,90,7.9,707.0,2,30.5,1,3,4,1,online,4,1
2048.8,30,36.1,680.0,1,3.5,3,0,3,1,direct,4,0
2842.31,30,39.1,693.0,0,0.0,3,0,5,1,reseller,6,0
13980.9,30,25.4,748.0,1,20.2,3,3,7,1,direct,1,1
1670.29,30,36.1,638.0,0,0.0,4,1,5,0,direct,5,1
8703.24,15,68.3,556.0,0,0.0,4,0,1,1,direct,6,1
800.64,45,16.8,713.0,1,11.0,4,3,8,1,direct,1,0
2693.52,30,2.7,618.0,1,2.5,5,2,8,0,reseller,5,0
4215.31,30,12.1,627.0,0,0.0,2,0,12,1,online,3,0
6170.9,15,2.9,667.0,1,5.6,5,3,9,1,reseller,6,0
6905.71,60,99.5,647.0,0,0.0,5,0,12,1,direct,0,0
7435.44,15,2.8,780.0,2,2.0,2,1,9,0,direct,6,1
2660.18,45,6.5,665.0,1,14.3,2,0,10,0,reseller,4,0
2401.58,30,23.4,784.0,1,16.0,0,3,7,0,reseller,5,1
7880.75,30,34.6,699.0,0,0.0,2,2,9,0,online,2,0
3065.07,30,36.9,672.0,0,0.0,2,0,6,1,online,1,0
1155.03,30,22.2,694.0,1,6.8,2,0,4,0,direct,4,0
1312.96,30,4.4,564.0,0,0.0,3,0,8,0,online,4,0
1591.6,45,13.9,710.0,1,18.7,3,3,6,1,reseller,5,0
5695.57,30,58.2,756.0,1,14.4,1,2,4,0,direct,6,0
4138.89,30,17.4,769.0,3,11.9,3,0,12,1,direct,2,0
6778.0,30,0.3,558.0,1,24.0,2,1,2,1,reseller,1,1
2478.66,30,18.5,543.0,1,7.4,4,3,2,1,reseller,5,0
4199.35,30,0.7,632.0,1,7.4,2,1,7,1,online,1,1
6393.46,15,20.9,805.0,1,11.0,5,0,1,1,direct,6,1
2756.14,30,101.6,700.0,0,0.0,2,0,11,1,reseller,5,0
5492.27,15,17.0,610.0,1,10.6,4,3,4,1,reseller,6,0
2006.74,30,22.4,549.0,1,2.2,2,0,6,1,reseller,4,0
2626.09,30,33.1,618.0,5,20.5,1,0,7,1,online,2,1
2582.3,30,7.8,612.0,2,12.8,4,0,4,1,reseller,3,1
1241.09,30,2.6,764.0,2,0.5,5,0,2,1,direct,5,0
5643.59,60,24.7,771.0,0,0.0,2,3,3,1,reseller,0,0
2386.39,30,9.9,586.0,1,23.9,2,0,2,1,reseller,0,0
3682.12,60,21.2,748.0,1,6.3,1,3,1,1,online,5,0
5612.05,30,9.9,739.0,1,10.3,3,1,9,1,reseller,5,0
5441.87,30,58.3,574.0,1,4.0,2,0,12,1,direct,2,1
6626.6,15,19.8,672.0,1,48.9,2,1,5,1,reseller,4,0
3332.12,30,22.6,711.0,4,9.2,5,2,4,1,direct,6,1
2487.5,45,3.1,695.0,0,0.0,2,3,5,1,reseller,3,0
3388.88,60,13.7,526.0,0,0.0,3,0,11,1,reseller,4,0
797.43,30,26.9,692.0,1,3.4,4,1,4,1,online,6,0
989.89,45,16.0,737.0,3,21.3,5,2,12,0,online,5,1
1107.18,30,7.5,822.0,2,8.4,5,2,4,1,direct,2,0
1483.97,15,31.2,620.0,1,16.7,2,0,6,1,direct,1,1
5217.62,45,70.4,631.0,3,12.1,4,0,4,1,online,0,0
1611.74,30,4.7,661.0,0,0.0,4,0,6,1,direct,4,0
2590.62,15,32.6,706.0,0,0.0,4,0,9,1,direct,6,0
11722.97,60,0.4,689.0,1,10.9,4,0,4,1,online,6,0
2642.19,90,1.6,734.0,2,4.9,0,2,1,1,direct,2,0
7071.05,45,35.8,579.0,1,10.6,1,2,8,1,direct,1,0
1571.43,30,1.1,716.0,1,18.2,3,0,9,1,reseller,6,0
3026.33,60,1.2,613.0,2,14.4,2,0,3,0,direct,5,1
1548.4,30,9.6,667.0,0,0.0,1,0,9,1,direct,1,1
2683.48,30,32.5,834.0,1,7.4,3,3,5,1,reseller,2,0
7756.43,30,0.1,554.0,0,0.0,5,3,9,1,online,1,0
769.25,60,34.8,655.0,3,6.3,3,0,4,0,direct,0,0
5382.89,60,77.0,565.0,3,11.4,2,1,1,0,direct,2,0
4509.59,45,12.3,694.0,1,6.6,2,0,5,1,online,6,0
2132.96,15,29.1,774.0,1,4.8,5,3,2,0,direct,4,0
990.83,30,71.3,695.0,0,0.0,2,0,1,1,online,3,0
3885.15,30,1.8,669.0,1,7.1,4,0,3,1,direct,5,0
2260.76,60,34.2,800.0,0,0.0,5,0,7,1,reseller,2,0
4489.1,15,3.7,710.0,0,0.0,1,0,2,1,direct,1,0
3713.27,15,23.4,754.0,2,12.3,3,1,2,1,direct,5,0
15391.97,45,16.2,744.0,2,1.0,5,0,5,1,reseller,2,0
2935.34,30,4.1,421.0,1,11.4,2,0,10,1,online,0,0
1449.32,60,4.2,673.0,2,25.9,1,3,4,1,direct,0,0
4278.46,15,48.1,583.0,1,3.2,7,0,6,1,online,4,0
4438.17,60,7.0,605.0,1,6.8,3,2,11,0,direct,0,0
12372.96,15,28.1,813.0,2,17.3,4,3,9,1,direct,0,0
7720.24,15,2.5,646.0,1,1.2,3,3,6,0,online,1,0
5019.99,30,40.4,850.0,1,6.9,6,2,2,0,reseller,6,0
13588.41,30,11.6,553.0,0,0.0,2,0,8,1,direct,1,0
1249.02,30,30.1,582.0,0,0.0,2,0,7,1,direct,6,0
2047.19,15,11.7,749.0,0,0.0,2,0,4,1,online,3,0
1581.43,15,3.2,649.0,2,7.0,2,2,3,1,direct,4,1
2563.61,45,57.5,708.0,0,0.0,3,0,4,0,direct,2,0
1054.67,30,0.5,670.0,1,11.7,3,0,7,1,online,3,0
6448.71,45,54.2,667.0,1,4.6,0,1,5,0,reseller,1,1
2980.96,45,20.1,653.0,0,0.0,5,0,6,1,online,5,0
969.01,15,15.6,696.0,1,13.6,3,2,10,1,direct,6,1
1459.69,45,51.6,738.0,2,1.1,4,3,8,1,direct,4,0
4827.88,30,25.1,825.0,2,8.7,3,0,10,1,direct,0,0
7741.21,30,101.1,662.0,0,0.0,3,3,2,0,direct,2,0
21961.75,15,53.1,645.0,1,15.5,4,1,9,1,reseller,1,0
50135.08,60,32.8,633.0,0,0.0,3,3,11,1,online,1,0
5286.8,30,20.6,812.0,0,0.0,0,2,5,1,direct,0,0
1494.3,30,53.2,742.0,1,18.9,1,1,6,0,direct,5,0
534.41,90,11.0,509.0,0,0.0,1,1,4,1,direct,4,0
4632.91,30,2.0,505.0,2,4.6,3,2,9,0,direct,4,0
1751.72,60,2.5,605.0,1,23.6,4,0,7,0,direct,1,0
2505.34,45,45.9,701.0,1,18.2,5,0,4,1,online,2,1
2098.78,60,15.3,677.0,2,26.3,0,0,1,1,online,4,0
3207.63,60,24.0,726.0,0,0.0,3,0,9,1,direct,3,0
9503.18,90,4.6,664.0,1,16.2,0,1,7,1,online,1,0
4193.72,15,11.4,806.0,6,23.2,1,1,12,0,reseller,5,0
3156.53,45,75.7,749.0,1,9.7,2,3,3,1,direct,4,0
1433.55,60,17.8,687.0,0,0.0,3,1,12,1,reseller,4,0
806.57,45,9.1,783.0,1,10.8,3,0,6,1,direct,1,0
2350.36,30,1.7,532.0,1,21.9,1,0,10,0,direct,6,0
3468.91,90,8.3,672.0,0,0.0,3,3,5,0,direct,6,0
17874.62,30,22.4,692.0,2,4.5,2,1,5,0,reseller,0,1
4093.87,30,18.5,734.0,0,0.0,2,0,8,0,direct,4,1
8817.25,30,14.8,526.0,0,0.0,1,0,3,1,online,4,1
2323.04,30,49.1,657.0,1,2.5,3,1,11,1,reseller,5,0
1253.32,45,15.2,716.0,1,9.1,2,2,4,0,reseller,2,1
1527.51,15,4.6,723.0,1,4.0,1,0,7,0,reseller,2,0
1895.61,45,8.6,787.0,1,6.1,3,0,10,1,reseller,2,0
24726.3,60,37.3,749.0,2,7.0,2,2,5,1,online,6,0
1738.45,30,1.7,675.0,0,0.0,1,1,4,1,reseller,6,0
7743.74,45,57.2,741.0,1,11.9,1,0,8,1,direct,2,0
1615.44,30,15.0,662.0,2,8.0,4,3,4,1,reseller,3,0
8420.43,60,31.4,693.0,0,0.0,0,0,6,1,direct,5,0
5148.48,90,126.6,752.0,0,0.0,5,3,4,0,online,2,0
3162.21,30,22.5,676.0,1,1.8,2,0,8,1,direct,4,0
3509.8,45,13.1,713.0,0,0.0,2,2,4,1,direct,1,0
2019.67,30,0.9,767.0,1,4.6,2,0,9,1,direct,4,0
5439.62,30,13.9,744.0,0,0.0,6,0,7,1,direct,5,0
2417.56,45,17.7,791.0,1,3.0,5,0,1,1,reseller,2,0
1208.28,30,9.9,850.0,2,16.0,3,0,9,1,direct,3,0
1152.69,45,24.1,743.0,1,10.2,3,2,9,0,online,6,0
4252.78,30,1.8,638.0,2,12.6,2,1,5,0,reseller,2,0
15080.87,30,46.7,726.0,2,2.9,2,0,7,1,reseller,1,0
4204.84,60,21.3,722.0,1,13.1,5,2,5,0,direct,4,0
3272.23,15,13.6,735.0,2,1.2,4,0,7,1,direct,3,1
4709.06,30,11.9,815.0,2,5.5,3,2,10,1,direct,4,0
11794.65,30,28.7,528.0,1,3.3,3,2,1,1,reseller,5,0
4435.72,60,25.0,816.0,1,10.1,6,0,3,0,direct,6,0
2515.35,30,2.0,847.0,1,23.0,6,0,8,0,direct,2,1
9854.27,30,29.4,731.0,2,14.8,1,0,8,1,reseller,2,0
5355.51,30,1.8,733.0,1,26.5,2,2,9,1,reseller,1,1
14504.01,30,12.3,658.0,0,0.0,1,2,7,1,direct,6,0
4293.73,90,10.2,681.0,0,0.0,4,1,8,1,online,4,0
1209.52,30,17.2,743.0,0,0.0,8,0,6,1,direct,3,0
1062.79,30,28.9,737.0,0,0.0,2,3,1,1,reseller,6,0
16088.1,45,21.8,745.0,2,2.7,4,0,11,1,online,0,0
17176.53,30,2.3,736.0,2,4.5,2,1,5,1,reseller,6,1
3097.75,30,39.7,761.0,2,18.3,3,2,1,1,reseller,5,0
2578.93,30,39.1,751.0,2,26.7,1,2,8,1,direct,2,0
13565.7,30,21.4,588.0,2,4.2,4,3,10,1,direct,2,1
1344.34,45,5.8,755.0,2,4.8,6,0,4,1,reseller,5,0
1627.41,60,5.1,847.0,0,0.0,5,0,5,1,direct,6,0
6496.34,60,66.9,678.0,0,0.0,3,0,12,1,direct,0,1
2552.57,60,4.1,815.0,3,19.2,5,3,10,1,direct,2,1
3624.21,30,21.9,597.0,1,15.6,4,3,10,1,direct,3,0
3142.9,30,66.2,677.0,3,21.1,4,3,6,1,reseller,0,0
4933.56,45,8.1,622.0,0,0.0,1,2,2,0,direct,2,0
12922.61,90,4.1,804.0,0,0.0,3,0,3,1,direct,4,0
3950.22,45,8.2,828.0,1,4.9,2,0,11,0,online,2,1
6499.92,30,42.6,671.0,1,26.2,3,0,7,1,direct,2,1
575.27,45,50.4,785.0,1,2.9,2,0,6,1,direct,0,0
3484.76,45,11.6,829.0,0,0.0,3,0,12,1,reseller,4,0
1704.61,60,18.4,677.0,1,10.7,6,2,3,1,online,0,0
1215.69,45,61.2,692.0,1,6.3,4,2,2,1,direct,2,0
1651.87,30,5.7,746.0,1,20.1,1,1,4,0,online,6,0
2695.36,30,13.7,604.0,1,2.3,2,0,11,1,reseller,2,0
8302.5,30,30.4,690.0,1,8.2,2,3,11,1,direct,5,1
1103.5,30,73.1,850.0,0,0.0,5,2,8,1,reseller,3,0
3742.72,60,61.3,635.0,0,0.0,3,2,2,0,reseller,1,0
2354.89,30,19.7,757.0,1,10.5,2,0,10,0,online,3,0
2711.06,30,10.4,727.0,2,9.2,2,0,11,0,online,3,0
8977.55,30,28.9,665.0,1,8.7,2,0,10,0,reseller,6,0
5909.43,45,3.6,700.0,0,0.0,5,3,10,1,reseller,6,0
12132.68,30,118.4,838.0,2,4.0,2,2,2,1,direct,3,0
3168.28,15,7.4,730.0,4,12.8,2,0,12,1,reseller,6,0
1946.23,60,19.1,744.0,3,8.4,8,1,5,1,online,4,1
2976.57,30,0.3,824.0,0,0.0,4,0,10,1,online,0,0
4528.96,30,13.6,654.0,0,0.0,2,0,7,1,direct,5,0
4268.07,30,17.0,586.0,1,11.1,5,1,5,0,reseller,5,0
1372.04,30,9.9,839.0,0,0.0,6,3,10,1,online,0,0
3949.88,45,16.9,692.0,2,34.0,1,2,4,1,reseller,0,1
4471.17,60,3.1,760.0,0,0.0,4,0,4,1,direct,6,0
35091.94,15,20.3,611.0,2,2.6,2,0,3,1,direct,2,0
19715.49,90,47.5,715.0,2,4.1,1,0,12,1,online,2,0
1689.32,45,7.2,581.0,1,26.1,3,3,2,1,reseller,3,0
2811.17,30,60.6,686.0,0,0.0,2,3,1,1,online,5,0
975.45,30,9.6,622.0,0,0.0,6,0,1,0,direct,3,0
2139.58,30,10.4,601.0,1,9.2,2,3,7,1,reseller,4,0
4836.97,60,17.5,653.0,2,3.5,0,0,2,0,online,0,0
10778.06,30,14.7,474.0,0,0.0,3,0,8,0,reseller,5,0
1889.04,30,19.5,576.0,2,5.2,1,0,4,0,direct,1,0
2020.84,45,46.6,750.0,1,5.8,7,0,7,1,direct,2,0
527.13,60,42.6,711.0,2,9.2,2,2,12,1,direct,4,0
3145.1,45,6.6,583.0,2,1.8,3,0,1,1,direct,5,0
1399.44,45,12.9,729.0,2,15.4,1,3,7,1,direct,3,1
2260.87,30,49.3,601.0,2,6.4,2,0,6,1,reseller,6,0
1653.79,60,1.4,745.0,3,16.9,0,2,1,1,online,1,0
3344.81,30,4.4,670.0,0,0.0,6,0,3,1,online,2,0
748.48,15,1.9,651.0,0,0.0,5,0,8,1,direct,5,0
972.3,90,10.3,672.0,2,10.5,1,1,7,0,direct,4,0
24743.61,30,10.9,850.0,0,0.0,0,0,9,1,direct,1,0
1142.89,15,0.1,612.0,0,0.0,2,3,5,1,direct,1,0
1356.81,45,26.7,700.0,0,0.0,5,2,1,1,reseller,2,1
19019.54,30,56.5,750.0,1,11.0,1,0,10,1,direct,4,1
49739.79,15,14.0,593.0,0,0.0,2,0,3,0,online,5,0
1268.5,45,4.0,537.0,4,5.0,4,3,1,1,direct,6,0
2613.84,45,53.7,626.0,1,17.6,1,2,3,1,reseller,4,0
4951.27,45,44.4,748.0,0,0.0,5,0,6,1,online,4,0
17254.49,30,18.7,649.0,3,7.7,5,0,4,1,direct,2,0
1497.91,30,1.3,659.0,0,0.0,0,0,11,0,online,5,0
2919.74,60,17.3,762.0,1,9.4,3,3,7,1,reseller,4,0
7329.07,30,13.6,607.0,0,0.0,3,0,8,1,direct,6,1
5384.55,30,27.4,672.0,2,3.1,2,0,1,0,direct,0,0
2595.31,15,58.2,544.0,0,0.0,3,0,3,1,direct,4,0
3227.81,30,25.1,709.0,3,14.2,2,0,7,1,reseller,1,1
1056.37,30,48.1,701.0,1,4.9,2,0,10,1,reseller,1,0
2938.47,45,49.7,752.0,3,8.5,3,0,11,1,direct,0,0
2864.79,90,29.0,577.0,0,0.0,5,2,5,1,reseller,4,0
4487.06,30,21.0,663.0,1,11.6,1,1,11,0,online,1,0
2208.8,45,0.1,565.0,2,7.9,3,0,7,1,online,6,0
5565.74,30,15.5,658.0,2,9.1,6,0,9,1,reseller,3,1
9058.37,15,5.6,813.0,0,0.0,4,2,8,1,direct,5,0
4187.61,45,9.9,651.0,0,0.0,2,3,12,1,direct,3,1
4996.94,30,6.9,557.0,0,0.0,3,0,2,0,reseller,1,1
3819.37,60,42.3,619.0,0,0.0,2,0,7,1,direct,4,0
3641.23,30,0.2,535.0,1,3.7,2,1,8,1,online,6,0
1901.88,30,21.4,563.0,0,0.0,3,0,7,1,reseller,4,0
4840.85,30,0.7,740.0,1,22.3,0,1,9,0,direct,6,1
3335.71,30,55.1,550.0,2,10.3,3,0,1,1,online,2,1
23953.06,60,105.4,708.0,2,3.5,5,2,8,1,reseller,1,0
15003.21,45,11.7,682.0,0,0.0,0,0,8,1,online,1,0
5152.63,30,82.5,632.0,0,0.0,0,1,9,1,reseller,2,0
1832.16,30,0.4,700.0,1,4.9,2,3,8,1,online,6,0
1337.86,45,35.6,596.0,1,15.3,2,1,3,0,online,0,0
10636.31,45,31.8,756.0,0,0.0,5,0,11,1,online,4,0
4612.26,15,59.7,617.0,2,12.7,4,3,3,1,online,6,0
5609.01,15,2.2,645.0,0,0.0,1,0,10,0,reseller,3,1
757.39,15,0.8,635.0,2,5.2,2,3,3,1,online,4,0
8389.15,30,51.9,742.0,0,0.0,3,1,9,1,direct,5,1
5480.65,30,8.2,729.0,1,7.8,1,3,4,1,direct,2,0
1340.25,15,78.3,444.0,0,0.0,3,0,11,1,direct,4,1
2381.84,30,59.0,703.0,1,39.6,2,0,5,1,direct,1,0
4616.28,30,7.0,523.0,1,4.9,3,2,5,1,direct,6,1
3817.0,15,31.9,649.0,1,14.2,6,2,4,1,reseller,3,1
2799.08,60,4.3,670.0,0,0.0,4,1,4,1,direct,2,0
3317.15,30,5.2,648.0,2,9.7,4,1,12,1,direct,6,0
2902.19,30,87.8,725.0,0,0.0,3,3,12,0,direct,3,0
4176.82,30,33.5,745.0,3,2.3,2,3,2,1,reseller,3,0
13688.93,30,60.4,610.0,0,0.0,6,0,8,0,direct,1,0
361.41,60,9.4,607.0,1,9.1,3,1,11,1,direct,6,1
2941.97,30,18.1,677.0,0,0.0,0,1,8,1,reseller,4,0
4267.83,30,26.9,541.0,1,12.3,8,0,5,0,direct,5,1
4752.35,60,22.6,637.0,1,4.0,4,0,10,1,reseller,6,0
2605.23,60,40.9,801.0,3,4.8,0,0,8,1,direct,4,0
749.16,60,11.8,544.0,1,11.1,1,2,3,1,direct,6,0
4891.21,30,60.4,649.0,1,26.0,5,0,4,1,direct,1,1
17233.58,30,9.1,627.0,0,0.0,6,1,1,0,online,3,0
915.55,45,12.1,850.0,0,0.0,1,1,11,1,reseller,1,0
7922.37,30,48.6,632.0,1,9.5,4,0,3,1,reseller,2,0
2708.98,45,13.8,637.0,3,3.9,0,0,1,1,direct,5,1
3445.44,45,23.0,587.0,1,7.5,2,0,12,1,direct,3,0
1411.48,30,21.4,681.0,2,10.7,4,3,4,1,reseller,1,0
2694.56,30,7.2,704.0,0,0.0,2,0,8,0,reseller,4,1
11731.59,30,2.8,600.0,1,13.1,3,3,12,1,direct,3,0
6151.12,30,29.2,769.0,0,0.0,5,3,2,1,online,2,0
17310.71,45,19.3,704.0,0,0.0,2,2,5,1,online,3,0
10505.67,45,33.4,757.0,0,0.0,3,3,3,1,direct,5,0
5405.53,30,2.0,650.0,4,23.5,3,0,4,1,direct,5,1
17492.74,45,17.6,702.0,0,0.0,2,0,11,1,online,1,0
5405.08,30,5.5,661.0,1,11.6,3,2,4,1,online,3,0
7670.9,45,15.6,811.0,1,9.3,7,0,3,1,direct,2,1
2788.02,30,8.1,690.0,1,0.7,0,3,2,1,online,1,0
3865.67,45,5.1,681.0,2,3.1,5,1,10,1,reseller,6,0
1943.64,45,1.1,639.0,4,9.0,2,1,5,1,reseller,5,0
8871.73,30,6.7,634.0,1,14.0,1,1,1,1,reseller,6,0
1260.83,30,47.9,701.0,2,13.3,5,1,4,0,direct,5,0
7362.21,60,4.8,754.0,0,0.0,7,3,11,1,direct,5,0
3066.87,30,21.0,618.0,2,3.9,4,0,4,1,direct,0,0
10447.55,45,63.4,691.0,0,0.0,5,0,10,1,direct,6,0
7156.54,90,51.7,697.0,0,0.0,3,0,1,1,direct,3,0
18743.11,60,7.7,712.0,1,2.5,2,0,5,1,direct,2,0
7028.28,30,8.5,526.0,1,12.4,2,2,8,1,direct,0,0
884.62,45,1.4,597.0,0,0.0,5,0,1,1,reseller,0,1
3428.03,90,37.1,557.0,0,0.0,3,3,9,1,online,0,0
1268.0,30,50.1,683.0,0,0.0,6,0,12,1,reseller,2,0
2283.69,15,34.4,599.0,4,8.3,1,2,9,1,direct,0,0
14187.34,15,12.6,635.0,3,6.0,2,2,10,1,direct,1,0
6462.56,45,6.7,573.0,1,16.3,4,0,2,1,reseller,5,0
1941.01,30,68.8,644.0,0,0.0,1,1,6,1,online,2,0
1462.14,30,8.1,579.0,1,22.6,4,2,8,0,online,3,0
3749.97,30,0.0,748.0,1,15.1,6,0,6,1,reseller,5,0
1218.16,45,0.6,723.0,2,14.7,4,0,11,1,direct,3,1
1990.17,30,23.1,694.0,1,9.6,0,0,10,1,direct,3,0
4821.35,60,151.7,653.0,1,37.3,2,0,12,1,direct,1,0
10298.78,45,38.4,497.0,0,0.0,4,0,9,1,direct,1,0
6297.36,90,28.3,639.0,0,0.0,2,0,11,0,direct,0,0
463.05,60,39.5,611.0,2,3.7,4,3,10,0,direct,0,0
4788.3,30,13.4,702.0,2,9.5,1,2,2,1,reseller,1,0
3884.81,45,12.3,736.0,0,0.0,4,0,11,0,direct,0,0
5284.33,15,21.4,709.0,0,0.0,4,3,12,0,online,2,0
15593.18,90,44.6,794.0,0,0.0,2,0,8,1,direct,0,0
568.55,30,7.5,629.0,3,6.7,4,0,4,0,online,6,0
2138.81,45,3.9,625.0,1,41.8,2,1,6,1,direct,4,0
6196.97,60,63.2,773.0,0,0.0,3,0,1,1,direct,1,0
877.05,30,10.0,695.0,0,0.0,2,0,1,0,reseller,1,0
13743.95,60,2.6,658.0,3,12.4,2,1,5,0,reseller,1,0
5072.15,15,22.3,846.0,0,0.0,1,0,4,0,direct,1,0
7800.36,30,46.5,732.0,2,12.5,1,3,4,0,online,0,0
2177.97,30,12.7,663.0,1,10.4,4,0,3,1,reseller,1,0
7573.32,30,42.3,618.0,2,2.9,3,0,9,1,reseller,5,0
9524.52,30,0.1,799.0,0,0.0,5,1,5,1,reseller,3,1
4489.92,60,2.1,699.0,0,0.0,5,0,12,1,reseller,1,1
4496.08,30,12.2,682.0,2,8.1,2,0,11,0,direct,1,0
4643.9,30,11.2,741.0,0,0.0,2,0,9,1,online,0,0
1674.03,60,29.5,759.0,1,10.3,1,0,10,0,online,5,0
3188.24,45,45.3,729.0,1,10.0,5,1,9,0,reseller,3,0
3173.94,15,28.4,760.0,2,28.8,4,0,3,1,reseller,3,1
5141.27,60,10.4,721.0,2,31.6,1,0,3,0,online,3,0
8953.88,15,3.4,730.0,2,16.3,7,1,7,0,direct,3,0
1404.33,30,6.8,614.0,1,16.7,4,0,9,1,online,3,0
3253.52,30,49.8,843.0,2,21.0,3,0,7,1,online,2,0
13812.23,45,7.2,569.0,3,12.5,5,0,4,1,direct,5,1
1864.54,15,75.5,708.0,0,0.0,1,0,1,0,reseller,5,1
1737.1,30,22.3,560.0,1,2.6,2,0,4,0,reseller,3,1
4368.07,45,38.0,671.0,3,18.0,7,0,11,0,reseller,5,1
7784.94,15,9.4,629.0,4,3.5,3,2,6,1,online,0,1
3678.59,30,4.3,692.0,1,4.0,3,0,11,1,reseller,5,1
12040.9,45,0.5,711.0,0,0.0,2,0,11,0,online,2,0
7872.37,45,26.3,594.0,0,0.0,1,0,2,0,direct,0,0
7766.99,30,1.7,677.0,1,4.1,3,1,3,1,direct,5,0
5995.14,30,3.2,805.0,0,0.0,2,1,7,1,online,5,0
29581.01,90,47.4,562.0,0,0.0,2,0,11,1,reseller,0,0
3027.08,30,5.5,603.0,2,4.1,1,1,4,0,reseller,4,0
599.94,15,7.8,757.0,4,2.3,3,2,6,0,direct,5,1
15426.3,30,9.7,687.0,1,6.5,3,1,5,1,reseller,4,0
2411.66,30,11.1,694.0,2,16.2,5,0,1,1,direct,3,0
4012.19,90,5.0,772.0,5,18.0,2,2,7,1,reseller,1,0
11832.39,30,16.6,609.0,1,7.8,4,2,9,0,reseller,2,0
